code,name,board
TAPG,Triputra Agro Persada Tbk.,Utama
LUCY,Lima Dua Lima Tiga Tbk.,Akselerasi
ADCP,Adhi Commuter Properti Tbk.,Pengembangan
MGLV,Panca Anugrah Wisesa Tbk.,Akselerasi
LABA,Green Power Group Tbk.,Pengembangan
ARCI,Archi Indonesia Tbk.,Pengembangan
IPAC,Era Graharealty Tbk.,Akselerasi
MASB,Bank Multiarta Sentosa Tbk.,Pengembangan
BMHS,Bundamedik Tbk.,Utama
FLMC,Falmaco Nonwoven Industri Tbk.,Akselerasi
NICL,PAM Mineral Tbk.,Pengembangan
UVCR,Trimegah Karya Pratama Tbk.,Pengembangan
BUKA,Bukalapak.com Tbk.,Ekonomi Baru
HAIS,Hasnur Internasional Shipping ,Pengembangan
OILS,Indo Oil Perkasa Tbk.,Pengembangan
GPSO,Geoprima Solusi Tbk.,Pengembangan
MCOL,Prima Andalan Mandiri Tbk.,Utama
RSGK,Kedoya Adyaraya Tbk.,Utama
RUNS,Global Sukses Solusi Tbk.,Akselerasi
SBMA,Surya Biru Murni Acetylene Tbk,Pengembangan
CMNT,Cemindo Gemilang Tbk.,Pengembangan
IDEA,Idea Indonesia Akademi Tbk.,Akselerasi
KUAS,Ace Oldfields Tbk.,Pengembangan
BOBA,Formosa Ingredient Factory Tbk,Pengembangan
MTEL,Dayamitra Telekomunikasi Tbk.,Utama
DEPO,Caturkarda Depo Bangunan Tbk.,Pengembangan
BINO,Perma Plasindo Tbk.,Pengembangan
CMRY,Cisarua Mountain Dairy Tbk.,Utama
WGSH,Wira Global Solusi Tbk.,Akselerasi
TAYS,Jaya Swarasa Agung Tbk.,Pengembangan
RMKE,RMK Energy Tbk.,Utama
OBMD,OBM Drilchem Tbk.,Pengembangan
AVIA,Avia Avian Tbk.,Utama
NASI,Wahana Inti Makmur Tbk.,Pengembangan
BSML,Bintang Samudera Mandiri Lines,Pengembangan
DRMA,Dharma Polimetal Tbk.,Utama
ADMR,Adaro Minerals Indonesia Tbk.,Utama
SEMA,Semacom Integrated Tbk.,Pengembangan
ASLC,Autopedia Sukses Lestari Tbk.,Pengembangan
ENAK,Champ Resto Indonesia Tbk.,Pengembangan
NTBK,Nusatama Berkah Tbk.,Pengembangan
SMKM,Sumber Mas Konstruksi Tbk.,Akselerasi
STAA,Sumber Tani Agung Resources Tb,Utama
NANO,Nanotech Indonesia Global Tbk.,Akselerasi
BIKE,Sepeda Bersama Indonesia Tbk.,Pengembangan
WIRG,WIR ASIA Tbk.,Pengembangan
SICO,Sigma Energy Compressindo Tbk.,Pengembangan
GOTO,GoTo Gojek Tokopedia Tbk.,Ekonomi Baru
TLDN,Teladan Prima Agro Tbk.,Pengembangan
MTMH,Murni Sadar Tbk.,Utama
IBOS,Indo Boga Sukses Tbk.,Akselerasi
OLIV,Oscar Mitra Sukses Sejahtera T,Akselerasi
SWID,Saraswanti Indoland Developmen,Pengembangan
TRGU,Cerestar Indonesia Tbk.,Utama
ARKO,Arkora Hydro Tbk.,Pengembangan
CHEM,Chemstar Indonesia Tbk.,Pengembangan
DEWI,Dewi Shri Farmindo Tbk.,Pengembangan
AXIO,Tera Data Indonusa Tbk.,Utama
KRYA,Bangun Karya Perkasa Jaya Tbk.,Pengembangan
HATM,Habco Trans Maritima Tbk.,Utama
RCCC,Utama Radar Cahaya Tbk.,Akselerasi
GULA,Aman Agrindo Tbk.,Pengembangan
JARR,Jhonlin Agro Raya Tbk.,Utama
AMMS,Agung Menjangan Mas Tbk.,Akselerasi
ELPI,Pelayaran Nasional Ekalya Purn,Utama
EURO,Estee Gold Feet Tbk.,Akselerasi
KLIN,Klinko Karya Imaji Tbk.,Akselerasi
TOOL,Rohartindo Nusantara Luas Tbk.,Pengembangan
BUAH,Segar Kumala Indonesia Tbk.,Pengembangan
CRAB,Toba Surimi Industries Tbk.,Pengembangan
MEDS,Hetzer Medical Indonesia Tbk.,Pengembangan
PRAY,Famon Awal Bros Sedaya Tbk.,Pengembangan
BELI,Global Digital Niaga Tbk.,Ekonomi Baru
MKTR,Menthobi Karyatama Raya Tbk.,Utama
OMED,Jayamas Medica Industri Tbk.,Utama
BSBK,Wulandari Bangun Laksana Tbk.,Utama
PDPP,Primadaya Plastisindo Tbk.,Pengembangan
KDTN,Puri Sentul Permai Tbk.,Pengembangan
NINE,Techno9 Indonesia Tbk.,Akselerasi
MMIX,Multi Medika Internasional Tbk,Pengembangan
ISAP,Isra Presisi Indonesia Tbk.,Akselerasi
VTNY,Venteny Fortuna International ,Utama
SOUL,Mitra Tirta Buwana Tbk.,Akselerasi
ELIT,Data Sinergitama Jaya Tbk.,Pengembangan
BEER,Jobubu Jarum Minahasa Tbk.,Pengembangan
CBPE,Citra Buana Prasida Tbk.,Pengembangan
SUNI,Sunindo Pratama Tbk.,Utama
WINE,Hatten Bali Tbk.,Pengembangan
BMBL,Lavender Bina Cendikia Tbk.,Akselerasi
PEVE,Penta Valent Tbk.,Pengembangan
LAJU,Jasa Berdikari Logistics Tbk.,Pengembangan
FWCT,Wijaya Cahaya Timber Tbk.,Pengembangan
NAYZ,Hassana Boga Sejahtera Tbk.,Akselerasi
PACK,Abadi Nusantara Hijau Investam,Akselerasi
VAST,Vastland Indonesia Tbk.,Pengembangan
CHIP,Pelita Teknologi Global Tbk.,Akselerasi
HALO,Haloni Jane Tbk.,Pengembangan
KING,Hoffmen Cleanindo Tbk.,Akselerasi
PGEO,Pertamina Geothermal Energy Tb,Utama
FUTR,Lini Imaji Kreasi Ekosistem Tb,Pengembangan
HILL,Hillcon Tbk.,Utama
BDKR,Berdikari Pondasi Perkasa Tbk.,Utama
PTMP,Mitra Pack Tbk.,Pengembangan
TRON,Teknologi Karya Digital Nusa T,Pengembangan
CUAN,Petrindo Jaya Kreasi Tbk.,Utama
NSSS,Nusantara Sawit Sejahtera Tbk.,Pengembangan
GTRA,Grahaprima Suksesmandiri Tbk.,Pengembangan
HAJJ,Arsy Buana Travelindo Tbk.,Akselerasi
NCKL,Trimegah Bangun Persada Tbk.,Utama
MENN,Menn Teknologi Indonesia Tbk.,Akselerasi
AWAN,Era Digital Media Tbk.,Pengembangan
MBMA,Merdeka Battery Materials Tbk.,Pengembangan
RAAM,Tripar Multivision Plus Tbk.,Utama
DOOH,Era Media Sejahtera Tbk.,Pengembangan
JATI,Informasi Teknologi Indonesia ,Pengembangan
TYRE,King Tire Indonesia Tbk.,Pengembangan
MPXL,MPX Logistics International Tb,Pengembangan
SMIL,Sarana Mitra Luas Tbk.,Utama
KLAS,Pelayaran Kurnia Lautan Semest,Pengembangan
MAXI,Maxindo Karya Anugerah Tbk.,Pengembangan
VKTR,VKTR Teknologi Mobilitas Tbk.,Pengembangan
RELF,Graha Mitra Asia Tbk.,Akselerasi
AMMN,Amman Mineral Internasional Tb,Utama
CRSN,Carsurin Tbk.,Pengembangan
GRPM,Graha Prima Mentari Tbk.,Akselerasi
WIDI,Widiant Jaya Krenindo Tbk.,Akselerasi
TGUK,Platinum Wahab Nusantara Tbk.,Pengembangan
INET,Sinergi Inti Andalan Prima Tbk,Pengembangan
MAHA,Mandiri Herindo Adiperkasa Tbk,Utama
RMKO,Royaltama Mulia Kontraktorindo,Pengembangan
CNMA,Nusantara Sejahtera Raya Tbk.,Utama
FOLK,Multi Garam Utama Tbk.,Pengembangan
HBAT,Minahasa Membangun Hebat Tbk.,Akselerasi
GRIA,Ingria Pratama Capitalindo Tbk,Pengembangan
PPRI,Paperocks Indonesia Tbk.,Pengembangan
ERAL,Sinar Eka Selaras Tbk.,Utama
CYBR,ITSEC Asia Tbk.,Pengembangan
MUTU,Mutuagung Lestari Tbk.,Pengembangan
LMAX,Lupromax Pelumas Indonesia Tbk,Akselerasi
HUMI,Humpuss Maritim Internasional ,Pengembangan
MSIE,Multisarana Intan Eduka Tbk.,Akselerasi
RSCH,Charlie Hospital Semarang Tbk.,Pengembangan
BABY,Multitrend Indo Tbk.,Pengembangan
IOTF,Sumber Sinergi Makmur Tbk.,Pengembangan
KOCI,Kokoh Exa Nusantara Tbk.,Pengembangan
PTPS,Pulau Subur Tbk.,Pengembangan
BREN,Barito Renewables Energy Tbk.,Utama
STRK,Lovina Beach Brewery Tbk.,Pengembangan
LOPI,Logisticsplus International Tb,Akselerasi
UDNG,Agro Bahari Nusantara Tbk.,Akselerasi
RGAS,Kian Santang Muliatama Tbk.,Pengembangan
MSTI,Mastersystem Infotama Tbk.,Utama
IKPM,Ikapharmindo Putramas Tbk.,Pengembangan
AYAM,Janu Putra Sejahtera Tbk.,Pengembangan
SURI,Maja Agung Latexindo Tbk.,Pengembangan
ASLI,Asri Karya Lestari Tbk.,Pengembangan
CGAS,Citra Nusantara Gemilang Tbk.,Pengembangan
NICE,Adhi Kartiko Pratama Tbk.,Pengembangan
MSJA,Multi Spunindo Jaya Tbk.,Utama
SMLE,Sinergi Multi Lestarindo Tbk.,Pengembangan
ACRO,Samcro Hyosung Adilestari Tbk.,Pengembangan
MANG,Manggung Polahraya Tbk.,Akselerasi
GRPH,Griptha Putra Persada Tbk.,Pengembangan
SMGA,Sumber Mineral Global Abadi Tb,Pengembangan
UNTD,Terang Dunia Internusa Tbk.,Pengembangan
TOSK,Topindo Solusi Komunika Tbk.,Pengembangan
MPIX,Mitra Pedagang Indonesia Tbk.,Pengembangan
ALII,Ancara Logistics Indonesia Tbk,Utama
MKAP,Multikarya Asia Pasifik Raya T,Pengembangan
MEJA,Harta Djaya Karya Tbk.,Akselerasi
LIVE,Homeco Victoria Makmur Tbk.,Pengembangan
HYGN,Ecocare Indo Pasifik Tbk.,Pengembangan
BAIK,Bersama Mencapai Puncak Tbk.,Pengembangan
VISI,Satu Visi Putra Tbk.,Pengembangan
AREA,Dunia Virtual Online Tbk.,Pengembangan
MHKI,Multi Hanna Kreasindo Tbk.,Pengembangan
ATLA,Atlantis Subsea Indonesia Tbk.,Pengembangan
DATA,Remala Abadi Tbk.,Pengembangan
SOLA,Xolare RCR Energy Tbk.,Pengembangan
BATR,Benteng Api Technic Tbk.,Pengembangan
SPRE,Soraya Berjaya Indonesia Tbk.,Akselerasi
PART,Cipta Perdana Lancar Tbk.,Pengembangan
GOLF,Intra Golflink Resorts Tbk.,Utama
ISEA,Indo American Seafoods Tbk.,Pengembangan
BLES,Superior Prima Sukses Tbk.,Utama
GUNA,Gunanusa Eramandiri Tbk.,Pengembangan
LABS,UBC Medical Indonesia Tbk.,Pengembangan
DOSS,Global Sukses Digital Tbk.,Pengembangan
NEST,Esta Indonesia Tbk.,Pengembangan
PTMR,Master Print Tbk.,Pengembangan
VERN,Verona Indah Pictures Tbk.,Pengembangan
DAAZ,Daaz Bara Lestari Tbk.,Utama
BOAT,Newport Marine Services Tbk.,Pengembangan
NAIK,Adiwarna Anugerah Abadi Tbk.,Pengembangan
AADI,Adaro Andalan Indonesia Tbk.,Utama
MDIY,Daya Intiguna Yasa Tbk.,Utama
KSIX,Kentanix Supra International T,Utama
RATU,Raharja Energi Cepu Tbk.,Pengembangan
YOII,Asuransi Digital Bersama Tbk.,Pengembangan
HGII,Hero Global Investment Tbk.,Pengembangan
BRRC,Raja Roti Cemerlang Tbk.,Pengembangan
DGWG,Delta Giri Wacana Tbk.,Utama
CBDK,Bangun Kosambi Sukses Tbk.,Utama
OBAT,Brigit Biofarmaka Teknologi Tb,Pengembangan
DIVA,Distribusi Voucher Nusantara T,Pengembangan
LUCK,Sentral Mitra Informatika Tbk.,Pengembangan
URBN,Urban Jakarta Propertindo Tbk.,Pengembangan
SOTS,Satria Mega Kencana Tbk.,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,Pengembangan
CARE,Metro Healthcare Indonesia Tbk,Pengembangan
SAMF,Saraswanti Anugerah Makmur Tbk,Utama
RONY,Aesler Grup Internasional Tbk.,Pengembangan
